drug	correlation	p_value	n	p_adjusted	significant_fdr
BRD:BRD-K00004617-001-01-9	0.08456500853497348	0.012436705534867077	873	0.6749207357190978	False
BRD:BRD-K31339321-001-03-6	0.08478346284540685	0.0468776128382444	550	0.7349749151867362	False
BRD:BRD-K68453341-001-01-1	0.08487065379739833	0.06600783320351103	470	0.735063097914755	False
BRD:BRD-K36198571-001-02-0	0.08493046526181312	0.05090159226126247	529	0.7349749151867362	False
BRD:BRD-K00091095-001-01-9	0.08498734446248787	0.012763676542208474	858	0.6749207357190978	False
BRD:BRD-K47983010-001-15-3	0.08520175619570323	0.011549568444607482	878	0.6749207357190978	False
BRD:BRD-A10188456-001-04-9	0.08534153761278662	0.048502511155486205	535	0.7349749151867362	False
BRD:BRD-K67262033-001-01-0	0.08565106244280506	0.06354813229098638	470	0.7349749151867362	False
BRD:BRD-K77987496-011-01-9	0.08566481668285296	0.06350546783323253	470	0.7349749151867362	False
BRD:BRD-A80017228-001-25-7	0.08577385135443903	0.0435874044544796	554	0.7314186441645905	False
BRD:BRD-K14796088-003-26-8	0.0858461713408081	0.043220261506931625	555	0.7314186441645905	False
BRD:BRD-K68003372-001-01-6	0.08619996064438037	0.06186372347157241	470	0.7349749151867362	False
BRD:BRD-K76205745-237-16-5	0.08627252607430204	0.0444874700181558	543	0.7349749151867362	False
BRD:BRD-K42898655-001-01-8	0.08630784122823704	0.04210432118016011	555	0.7243508772285912	False
BRD:BRD-K42536037-001-01-3	0.08644246618206608	0.06140882277743469	469	0.7349749151867362	False
BRD:BRD-K40269473-001-02-2	0.08668502324139142	0.04328187240713998	544	0.7314186441645905	False
BRD:BRD-A56592690-001-04-3	0.08673785335084454	0.041086871210301135	555	0.7208781796329321	False
BRD:BRD-K68408772-001-05-4	0.08681629683363612	0.04493361384161074	534	0.7349749151867362	False
BRD:BRD-K64120610-046-01-9	0.08682444937529457	0.05999231591608785	470	0.7349749151867362	False
BRD:BRD-K12742203-003-01-7	0.08689352666271191	0.044742634061956776	534	0.7349749151867362	False
BRD:BRD-K60265345-001-02-9	0.08692122331673865	0.00997261218728864	878	0.6328414649690641	False
BRD:BRD-A92448440-001-01-3	0.08701122964350803	0.05944176863298271	470	0.7349749151867362	False
BRD:BRD-A42423104-001-01-4	0.08707194332906665	0.04430404104625419	534	0.7349749151867362	False
BRD:BRD-K32322923-001-01-7	0.08712507776491289	0.059108248194291425	470	0.7349749151867362	False
BRD:BRD-K08206212-002-01-0	0.0872874940236399	0.04417739873381247	532	0.7349749151867362	False
BRD:BRD-K00003162-001-01-9	0.08734102413226175	0.009617960950802945	878	0.6219614748185904	False
BRD:BRD-K33814251-001-01-4	0.08739817618486038	0.04595051944604198	522	0.7349749151867362	False
BRD:BRD-K19426040-001-01-1	0.08742434658598522	0.05850848554116238	469	0.7349749151867362	False
BRD:BRD-A50062753-001-02-9	0.08747854610206027	0.009586477573778729	876	0.6219614748185904	False
BRD:BRD-K62965247-001-04-9	0.08756624589893461	0.040083921315686166	550	0.7183352112231243	False
BRD:BRD-K29462201-001-01-9	0.08773343494066647	0.04061839749260277	545	0.7183352112231243	False
BRD:BRD-K61642990-001-01-0	0.08804494322048599	0.039543482294707194	547	0.7183352112231243	False
BRD:BRD-K60348325-065-09-9	0.0881718328877118	0.040730347028115295	539	0.7183352112231243	False
BRD:BRD-A04447196-001-01-8	0.08819245158226507	0.04143997773543725	535	0.7231751647092168	False
BRD:BRD-K75167327-001-01-6	0.08833015190589026	0.055934334745884225	469	0.7349749151867362	False
BRD:BRD-A36057565-001-01-0	0.08855434905084124	0.03876836942655253	545	0.7161994828271249	False
BRD:BRD-A00520476-001-07-4	0.08856938069517284	0.03784841072610583	550	0.7079633852073239	False
BRD:BRD-K00003165-300-01-9	0.08857376953501077	0.008833032976360827	873	0.6183123083452579	False
BRD:BRD-K92723993-001-06-7	0.08863795099153382	0.036836269513675496	555	0.701051528330237	False
BRD:BRD-K92980438-001-03-3	0.08871649105516274	0.042757477430309165	522	0.7294554566628122	False
BRD:BRD-K00003299-001-01-9	0.088739160482939	0.008516369838461102	878	0.6170534873939046	False
BRD:BRD-K91308639-001-02-7	0.08882369988509124	0.036953367013258104	552	0.701051528330237	False
BRD:BRD-K01492390-001-01-9	0.08884639230780865	0.05450980880218048	469	0.7349749151867362	False
BRD:BRD-K21920947-001-02-1	0.08891409215321572	0.054325253458983536	469	0.7349749151867362	False
