drug	correlation	p_value	n
BRD:BRD-A03932035-004-04-3	0.04014400487497244	0.3554232627925808	532
BRD:BRD-A02933148-001-01-8	0.04074150379498554	0.3781723851166286	470
BRD:BRD-A02006392-001-16-4	0.044004363296366505	0.3007445226186905	555
BRD:BRD-A07600638-060-05-2	0.045318960899561854	0.29677930598119895	532
BRD:BRD-A07893380-213-01-7	0.0465851692276827	0.28806704703830865	522
BRD:BRD-A07986123-001-02-8	0.047540020168154416	0.2750744191099752	529
BRD:BRD-A06627858-236-03-0	0.04772981930087588	0.2633646911186028	551
BRD:BRD-A05334458-001-02-8	0.04825761407475727	0.2585500285457158	550
BRD:BRD-A00055058-001-01-0	0.04971639753558157	0.2509834612581431	535
BRD:BRD-A06352508-001-03-7	0.052654247039159836	0.21719436584299004	551
BRD:BRD-A05729358-001-02-0	0.05310393512946249	0.21370509421103434	550
BRD:BRD-A00993607-003-24-6	0.054425102712249165	0.20046473606392354	555
BRD:BRD-A02710418-003-11-8	0.05492489202573403	0.19962706248128087	547
BRD:BRD-A00546892-001-02-6	0.056704992863988425	0.184213450995838	550
BRD:BRD-A08316590-001-01-3	0.06391963839314402	0.13980498386590434	535
BRD:BRD-A06784547-001-03-9	0.07390815959941716	0.02871695275910052	876
BRD:BRD-A08187463-001-12-9	0.08026441911692452	0.06432221589596118	532
BRD:BRD-A04447196-001-01-8	0.08819245158226507	0.04143997773543725	535
BRD:BRD-A00520476-001-07-4	0.08856938069517284	0.03784841072610583	550
BRD:BRD-A06916187-001-02-9	0.0947809834983677	0.02623199653424492	550
