threshold	net_benefit
5.0	0.29276315789473684
6.000000000000001	0.28523936170212766
7.000000000000001	0.2775537634408602
8.0	0.26970108695652173
9.0	0.2616758241758242
10.0	0.2534722222222222
11.0	0.24508426966292135
12.000000000000002	0.23650568181818182
13.0	0.22772988505747127
14.000000000000002	0.21875
15.000000000000002	0.21011029411764703
16.0	0.20074404761904763
17.0	0.19115210843373498
18.0	0.17957317073170734
19.0	0.16774691358024688
20.0	0.16093749999999998
21.000000000000004	0.15363924050632907
22.000000000000004	0.14415064102564099
23.0	0.12232142857142858
24.0	0.10476973684210528
25.0	0.10729166666666667
26.0	0.0991554054054054
27.0	0.09584760273972603
28.000000000000004	0.08003472222222216
28.999999999999996	0.07698063380281689
30.0	0.0776785714285714
31.0	0.06870471014492752
32.0	0.07647058823529412
33.0	0.06623134328358204
34.0	0.0679924242424243
35.0	0.050721153846153846
36.0	0.035742187499999994
37.0	0.021676587301587294
38.0	0.009072580645161282
39.0	0.0047131147540983576
40.0	-0.0010416666666666768
41.0	0.000476694915254261
42.0	0.009590517241379312
43.0	-0.00805921052631578
44.0	-0.0020089285714285712
45.0	0.0008522727272727293
46.0	-0.0008101851851851846
47.0	0.001415094339622643
48.0	0.0007211538461538471
49.0	0.00024509803921568714
50.0	-0.003125
