threshold	net_benefit
5.0	0.29276315789473684
6.000000000000001	0.28523936170212766
7.000000000000001	0.2775537634408602
8.0	0.26970108695652173
9.0	0.2616758241758242
10.0	0.2534722222222222
11.0	0.24508426966292135
12.000000000000002	0.23650568181818182
13.0	0.22772988505747127
14.000000000000002	0.21875
15.000000000000002	0.20955882352941174
16.0	0.2001488095238095
17.0	0.1905120481927711
18.0	0.18269817073170733
19.0	0.16959876543209879
20.0	0.15859375000000003
21.000000000000004	0.14928797468354427
22.000000000000004	0.13573717948717948
23.0	0.1229707792207792
24.0	0.10526315789473684
25.0	0.09375
26.0	0.08631756756756756
27.0	0.08184931506849313
28.000000000000004	0.0814236111111111
28.999999999999996	0.08010563380281688
30.0	0.07946428571428571
31.0	0.08586956521739125
32.0	0.0957720588235294
33.0	0.08619402985074624
34.0	0.06856060606060609
35.0	0.0641826923076923
36.0	0.0431640625
37.0	0.029563492063492056
38.0	0.026310483870967738
39.0	0.00783811475409836
40.0	-0.0020833333333333537
41.0	0.0014300847457627275
42.0	-0.01508620689655172
43.0	-0.0025767543859649064
44.0	-0.001339285714285713
45.0	-0.006818181818181817
46.0	-0.005671296296296299
47.0	-0.004127358490566033
48.0	-0.005288461538461539
49.0	-0.008884803921568627
50.0	-0.0062499999999999995
