threshold	net_benefit
5.0	0.29276315789473684
6.000000000000001	0.28523936170212766
7.000000000000001	0.2775537634408602
8.0	0.26970108695652173
9.0	0.2616758241758242
10.0	0.2534722222222222
11.0	0.24508426966292135
12.000000000000002	0.23650568181818182
13.0	0.22772988505747127
14.000000000000002	0.21875
15.000000000000002	0.20955882352941174
16.0	0.2001488095238095
17.0	0.1905120481927711
18.0	0.18064024390243905
19.0	0.1705246913580247
20.0	0.15859375
21.000000000000004	0.1443037974683544
22.000000000000004	0.1318108974358974
23.0	0.12362012987012991
24.0	0.11167763157894736
25.0	0.10208333333333336
26.0	0.09113175675675672
27.0	0.09006849315068494
28.000000000000004	0.08958333333333329
28.999999999999996	0.08692781690140844
30.0	0.0776785714285714
31.0	0.08401268115942029
32.0	0.08125000000000002
33.0	0.07705223880597012
34.0	0.06524621212121215
35.0	0.05504807692307691
36.0	0.04843750000000001
37.0	0.033779761904761896
38.0	0.01955645161290323
39.0	0.028432377049180335
40.0	0.016666666666666663
41.0	0.014989406779661034
42.0	0.0004310344827586285
43.0	-0.0009320175438596451
44.0	-0.0033482142857142877
45.0	-0.005397727272727269
46.0	-0.004398148148148149
47.0	-0.004834905660377357
48.0	-0.0026442307692307694
49.0	-0.0030024509803921566
50.0	0.0
