model	term	HR	HR_low	HR_high	pvalue
M1_DPI_continuous	DPI	1.2292642760866	0.0664120225657102	22.7532696955223	0.889741275618614
M2_DPI_tertiles_vs_mid	DPI_tertileLow	0.324279824800478	0.125536341353882	0.837665042955124	0.0200292513967224
M2_DPI_tertiles_vs_mid	DPI_tertileHigh	0.325718861498264	0.136834629178606	0.77533572731246	0.0112438384082561
