drug,correlation,p_value,n,significance
BRD:BRD-K01295354-001-02-8,-0.0978715716530856,0.02134284423423041,553,p < 0.05
BRD:BRD-K87349682-347-03-8,-0.09782506309262107,0.025414361603277907,522,p < 0.05
BRD:BRD-K56211775-001-03-8,-0.09724988912988185,0.02461727061503549,534,p < 0.05
BRD:BRD-A56241705-003-01-2,-0.09702797158021094,0.024948220203153904,534,p < 0.05
BRD:BRD-K12502280-001-08-0,-0.09682990508037832,0.02552318015675897,532,p < 0.05
BRD:BRD-K33892651-001-02-4,-0.09668070271084553,0.023232540807686324,551,p < 0.05
BRD:BRD-K12906202-001-06-2,-0.09664543501122969,0.025389667507733443,535,p < 0.05
BRD:BRD-K19388745-003-01-7,-0.09550736907019076,0.02509918669125353,550,p < 0.05
BRD:BRD-K25970317-001-01-6,-0.095412686063306,0.02747490899332181,534,p < 0.05
BRD:BRD-K47177710-001-03-1,-0.09518231314964527,0.025466486278010028,551,p < 0.05
BRD:BRD-A31362467-065-01-3,-0.09515254762883738,0.02790175209415487,534,p < 0.05
BRD:BRD-K57432881-003-21-8,-0.09501330538652304,0.025196000673119997,555,p < 0.05
BRD:BRD-A09828896-004-11-0,-0.09486745291092125,0.025688820599341064,553,p < 0.05
BRD:BRD-K40302533-001-02-9,-0.09469509358494059,0.025959814204524315,553,p < 0.05
BRD:BRD-K73027814-003-01-0,-0.09462714837327776,0.028781251652618186,534,p < 0.05
BRD:BRD-K54790157-001-15-5,-0.09441292217645196,0.02682262805601699,550,p < 0.05
BRD:BRD-A49035384-003-30-5,-0.09440639610581192,0.028409671733133884,539,p < 0.05
BRD:BRD-K69247067-001-01-8,-0.09416432052675396,0.026809864777256182,553,p < 0.05
BRD:BRD-K67901620-001-02-0,-0.0941185519943301,0.02688427462674576,553,p < 0.05
BRD:BRD-A26458246-004-02-1,-0.0940843764836014,0.04147063293261141,470,p < 0.05
BRD:BRD-K19203487-001-01-4,-0.09394308270819382,0.02731111421825943,552,p < 0.05
BRD:BRD-K45435259-003-11-1,-0.09381801437722179,0.027517956214720418,552,p < 0.05
BRD:BRD-K52075715-001-06-7,-0.09380757273389015,0.02711542152815228,555,p < 0.05
BRD:BRD-A33711280-003-03-1,-0.09364482994400203,0.02766494867950403,553,p < 0.05
BRD:BRD-K11631773-001-10-8,-0.09350751018064148,0.03268298931427855,522,p < 0.05
BRD:BRD-K73524797-001-01-1,-0.09344726384957015,0.027712890589869827,555,p < 0.05
BRD:BRD-K70329400-001-02-5,-0.09339845081350323,0.04320751845506238,469,p < 0.05
BRD:BRD-A56858165-001-04-4,-0.09311363613824118,0.02900006142954239,550,p < 0.05
BRD:BRD-K92301463-001-05-5,-0.09303323730961624,0.028557112609334648,554,p < 0.05
BRD:BRD-K83405785-001-01-5,-0.09249616793596888,0.032271350376579376,536,p < 0.05
BRD:BRD-A77218119-001-03-5,-0.09238062038743644,0.029993554809213913,552,p < 0.05
BRD:BRD-K61536264-001-01-3,-0.09237960273527564,0.03281727434234499,534,p < 0.05
BRD:BRD-A23418262-001-01-5,-0.09230598033668683,0.032792985305038796,535,p < 0.05
BRD:BRD-K25723200-001-02-7,-0.09217338394183852,0.03239357831474016,539,p < 0.05
BRD:BRD-K00004549-001-01-9,-0.09214349937736284,0.006441420564713099,873,p < 0.05
BRD:BRD-K87386013-001-01-7,-0.09212723006828716,0.03313387252767356,535,p < 0.05
BRD:BRD-K13662825-001-07-5,-0.09141863989538196,0.03129232527452504,555,p < 0.05
BRD:BRD-K59522102-001-14-6,-0.09129941590070831,0.03526713599382434,532,p < 0.05
BRD:BRD-K05919151-001-01-6,-0.09129322040168615,0.037054681736166654,522,p < 0.05
BRD:BRD-K30373883-001-02-8,-0.0909986750135449,0.034674586999581834,539,p < 0.05
BRD:BRD-K11510141-001-01-8,-0.09076193796125635,0.033007605337091524,552,p < 0.05
BRD:BRD-K37708699-001-01-4,-0.09075675184735918,0.03602360335467327,534,p < 0.05
BRD:BRD-K56807945-001-01-2,-0.09071290089508353,0.03593924153888251,535,p < 0.05
BRD:BRD-K65992024-001-01-5,-0.09040463845259894,0.03403176049826674,550,p < 0.05
BRD:BRD-K82357231-001-17-5,-0.09026082375257535,0.03366796361007252,554,p < 0.05
BRD:BRD-A90201073-001-02-9,-0.09015554271254744,0.00758536946536116,876,p < 0.05
BRD:BRD-K66937583-001-01-2,-0.08998457395351268,0.03487508878501261,550,p < 0.05
BRD:BRD-K92908289-001-01-8,-0.08995663505694419,0.03770005973047913,534,p < 0.05
BRD:BRD-K65924316-001-03-1,-0.08994663645112676,0.03545467928010379,547,p < 0.05
BRD:BRD-K53195974-001-01-9,-0.08978018853929037,0.038078539765968894,534,p < 0.05
BRD:BRD-K75923785-003-02-1,-0.08975315709250917,0.03724110941230178,539,p < 0.05
BRD:BRD-K62309135-001-05-2,-0.08957009188182496,0.0385333974250714,534,p < 0.05
