cell_line_id,IIR_score_norm,IIR_group,ImmuneScore_norm,PD1_signature,DPI_norm
ACH-001113,0.3966886966209497,Low,0.003375476439140975,-0.25956170770606196,0.6126031002418014
ACH-001289,0.41087551912902076,Mid,0.05276832374393648,-0.10526496301384905,0.6126655938425587
ACH-001339,0.40928345216135764,Mid,0.006693832911196149,0.11529729049725343,0.6125815119389996
ACH-001979,0.40140366084096385,Mid,0.0015232597316667828,-0.030434175113309616,0.6125748625961333
ACH-002438,0.39392273769614977,Low,0.009417297757148013,-0.25210300535341873,0.6125757751067092
ACH-001538,0.42972132113093553,High,0.016210796090006793,0.460232905109101,0.6127109631326457
ACH-000242,0.40016376723696734,Mid,0.013203930027797819,-0.2306465491421086,0.6126856946333272
ACH-000708,0.40673591944380677,Mid,0.037338080350409475,-0.2065825909610529,0.6128885083763952
ACH-000327,0.3958239429407301,Low,0.0026712687695156895,-0.2763722407859441,0.6125971823623043
ACH-000233,0.5650426909636154,High,0.46285979599314836,1.233286794149438,0.6164644226204268
ACH-000461,0.4011768289114813,Mid,0.01832439936949264,-0.23466841367054128,0.6127287250089389
ACH-000705,0.39950976605758387,Low,0.01760927595162821,-0.2706225033872409,0.6127227153978612
ACH-001794,0.40346095585575126,Mid,0.000769097303855434,0.023887499549795847,0.6125747512912185
ACH-002023,0.4103950136663588,Mid,0.041485083901039395,-0.1418953237492855,0.6129233581349894
ACH-000528,0.39226741302284407,Low,0.006717166131888392,-0.38383769820914443,0.6126311824649457
ACH-002501,0.39091139842817213,Low,0.006345506408871841,-0.41424290218230536,0.6126280591853372
ACH-001655,0.3948370072147866,Low,0.0007729047784601238,-0.18228153253606896,0.6125747390394279
ACH-000167,0.4412026344335104,High,0.005948068828032958,0.7917067286885732,0.6126247192789255
ACH-000792,0.3991793122368839,Low,0.0037016705521506414,-0.0943855943583645,0.6125748452376101
ACH-001098,0.39634655751934056,Low,0.0022813718439133965,-0.26171047371257283,0.6125939058245422
ACH-000570,0.3959779150397331,Low,0.008279283440257324,-0.1977988034082319,0.6125761199248488
ACH-000351,0.41023589450750925,Mid,0.022813005163199254,0.008522165703564545,0.6126651574726488
ACH-002075,0.41134340754931403,High,0.04235281524842265,-0.12398562166058794,0.6129306502020474
ACH-002040,0.39926862299635685,Low,0.008360790594357107,-0.22533339249441703,0.6126449948273027
ACH-000769,0.41115999126443703,Mid,0.052827827580715955,-0.1862085280373396,0.6130186780145619
ACH-000154,0.3997550439025862,Low,0.009502535920447572,-0.11216710776874364,0.6125753449412988
ACH-000828,0.39343833238563436,Low,0.0067224582734278,-0.3558401547947604,0.6126312269379859
ACH-000421,0.4773439931799735,High,0.21427680018571316,0.5065887717423421,0.6143754305834653
ACH-000765,0.417780861422472,High,0.055048912380543824,0.025625569781668345,0.6127489554413135
ACH-001375,0.4001918250593584,Mid,0.019150751094004482,-0.262807460425969,0.6127356693382027
ACH-000008,0.4091881283293268,Mid,0.01126025779946207,0.09914235443271686,0.6125788364684565
ACH-001814,0.3927562505363844,Low,0.0007729047784601238,-0.2320760704546351,0.6125747385940372
ACH-000800,0.39408575058321305,Low,0.004941865708470514,-0.31327586638343075,0.6126078973163577
ACH-000606,0.40002578969874486,Low,0.00633452121726302,-0.10342191214086013,0.6125807722410678
ACH-000317,0.41409945706814133,High,0.02936993506218108,0.01366101174551841,0.6128215472715038
ACH-001492,0.43620298541219465,High,0.08370749800089489,0.2427256289292071,0.6132781784095999
ACH-000123,0.4182037530495883,High,0.0037975177107972048,0.2530858896556978,0.6126066469077868
ACH-000723,0.41671123052969244,High,0.042342415502056474,0.09446525028961912,0.6126370411825659
ACH-002066,0.4159820354320347,High,0.021087679367255963,0.20050824217386085,0.6125934396400775
ACH-001536,0.4018485479736597,Mid,0.005596590006833976,-0.148319915428079,0.6126217655915412
ACH-003136,0.4000147525990641,Low,0.0034181791863501176,-0.07287272689187274,0.6125748362667331
ACH-000313,0.42510405651389993,High,0.01588088647477731,0.37064253763694044,0.6126791867161945
ACH-002019,0.41249441859531677,High,0.03400750384445762,-0.05036078126995003,0.6128605195440262
ACH-000728,0.4453718069595362,High,0.12934428421803998,0.21022625820158006,0.6136616917013697
ACH-000700,0.408807418911948,Mid,0.01595409889199825,-0.038938519488272656,0.6127088059521
ACH-000823,0.3963577533734172,Low,0.02298068959268655,-0.3065765901611136,0.6126358432251493
ACH-000678,0.4165247823636041,High,0.021991956833802128,0.11244677938034943,0.6127595456944535
ACH-000006,0.4262234962072693,High,0.0606498895915899,0.13116110772584483,0.6130844114940394
ACH-002790,0.3968878931095745,Low,0.004822246677205057,-0.15567402868972127,0.6125750084614442
ACH-002029,0.4037479931988202,Mid,0.021734438933721668,-0.19195270876252565,0.612757381617056
ACH-001377,0.39635477607913844,Low,0.007451945023442764,-0.29006057436516663,0.6126373572527603
ACH-000754,0.4251235229457998,High,0.026826331461964625,0.2915728976096829,0.6128001718445614
ACH-000465,0.39813073448055053,Low,0.009565127625653277,-0.2592187019212072,0.61265511559385
ACH-000138,0.4139603415815638,High,0.012939984839107684,0.1010412057367397,0.6126834765435678
ACH-001864,0.39998047338611153,Low,0.004512283781577695,-0.18704709522832236,0.6126126535158627
ACH-000383,0.40113222721810016,Mid,0.006316205657067859,-0.16943855563340396,0.6126278129535425
ACH-001547,0.4103752609734514,Mid,0.03726364661564609,-0.1190614950273958,0.6128878828650697
ACH-000917,0.4149668538795071,High,0.05321825627537386,-0.09724421248134996,0.6130219590210986
ACH-002471,0.4026504354939478,Mid,0.040090391949689434,-0.21440719346215942,0.6125960979358664
