submitter_id	aDC	Adipocytes	Astrocytes	B-cells	Basophils	CD4+ memory T-cells	CD4+ naive T-cells	CD4+ T-cells	CD4+ Tcm	CD4+ Tem	CD8+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	cDC	Chondrocytes	Class-switched memory B-cells	CLP	CMP	DC	Endothelial cells	Eosinophils	Epithelial cells	Erythrocytes	Fibroblasts	GMP	Hepatocytes	HSC	iDC	Keratinocytes	ly Endothelial cells	Macrophages	Macrophages M1	Macrophages M2	Mast cells	Megakaryocytes	Melanocytes	Memory B-cells	MEP	Mesangial cells	Monocytes	MPP	MSC	mv Endothelial cells	Myocytes	naive B-cells	Neurons	Neutrophils	NK cells	NKT	Osteoblast	pDC	Pericytes	Plasma cells	Platelets	Preadipocytes	pro B-cells	Sebocytes	Skeletal muscle	Smooth muscle	Tgd cells	Th1 cells	Th2 cells	Tregs	ImmuneScore	StromaScore	MicroenvironmentScore
TCGA-A7-A26I	0.165780709616557	0	0.119683519893849	0.037047014383148	0.00575513076684536	9.04826039267254e-20	0.0159069979103354	0.0114359066161053	0.0043359862418086	0	0	0.0275303743901494	0.00237285140996415	4.40475449762583e-19	0.0296477926306011	0.0258755787005492	0.0227504255138282	3.91456122677964e-20	0.00586702018852456	6.27896568715781e-19	0.0290049408462489	0	0.298711072988319	3.64459373459317e-20	0.125155683351827	1.89958219230635e-18	0.000122797837956095	0.0701666409671062	0	0.0471875597345693	0.00168821165120618	0.0356779318516356	0.0254998304639677	0.0349220616573077	0.023916470764962	0.0117015534109378	0.020175106915198	3.3287154930386e-18	0	8.56996479808116e-19	0.0352066350229365	0	0.196471508064258	0.0204404985812989	0.00741393769945636	0	0.00549153185140761	2.49548966007892e-19	2.29300332589423e-18	0.01996096065998	0	0.00119392553005929	0.187203836744498	0	0.011138080455118	0	1.18830866697836e-18	0.00557482477158684	3.49749647583689e-19	0	2.98736124207935e-17	0.037205977713636	0.0371088134682429	0.119740541291207	0.113876222019291	0.077080312099038	0.190956534118329
TCGA-AR-A256	0.154534485661866	0	0	0.0285698689602341	0.047176988547593	0.00244358113421076	4.3705909450416e-18	1.95674461662157e-19	4.36912460582663e-18	2.65690285487675e-17	0.0127935050260883	0.00434739347854571	0.0183122911991852	6.25252239674279e-20	0.0656018209103128	0.00189722357128527	0.0155271963459764	0.0940617357311662	0	0.00581547389257656	0	0	0.457639440209363	7.50791784820416e-19	0	7.11038004603229e-18	0	0.0312683273039527	0	0.104854678862152	1.57985008449913e-18	0.0382047540195178	0.0356600906906194	0.0138791828245892	0.0109905602382135	0.00247036004015953	0.0196767611150825	0	0.0747537615176481	0.00114364137301774	0.00356938346033379	2.55089058163692e-18	0.121488283142922	0.00181838827845289	0.00711868916967781	1.9809733155417e-20	0.00355977446988881	4.63088812572145e-20	0	0.00921522867801164	0.0143435113181361	0	0	0.00532948784446013	8.81464501806981e-19	0	0.0193746264691523	0.0365991677666228	0	0.207662649793422	0	0.217712126036085	0.137176699092927	0.0014582192816134	0.060998289366281	0	0.060998289366281
TCGA-E2-A1LH	0.484743334398006	0.100422100825916	4.06311504906425e-18	0.157986574775681	0.076957598942679	0	0.019245698354059	0	7.58973665399187e-19	0.0134142298553288	0.0297555913665041	0.0952785165732681	0.0709804410025202	0.00708562963626887	0.0401815461831734	0.0613105775720285	0.060589040758262	0.0597074624358426	0	0.0180721857001806	0.0503358452524085	1.16155604069159e-18	0.602581094491513	0	0.0479001780239576	0	0.00189570850345406	0.0322774769916747	0.0568068838764741	0.121671441424962	0.0131525869268105	0.106196682831551	0.11964228612269	0.0458863422680383	0.00265491577492606	0.00644681318637557	0.0238203838980116	0.0532179394252771	0.0538401063776668	0.0125311513350359	0.0148820330670213	4.92591647364786e-18	0.193320350063629	0.0805409950051298	0.00606659893747415	4.75482994273502e-20	0.000779443109915846	3.65138257009722e-19	0	0.0803645900458644	0.0446473982534396	0.0395165045449224	0.00521207210590858	0.0402978741408554	4.80322280206023e-19	0	0.0226061906597401	0.0603977934170757	0	0	4.21985966015111e-19	0.277412670329998	0	0	0.263380605815086	0.099329062051141	0.362709667866227
TCGA-E9-A1N8	0.0822041560359532	0	8.94086138851204e-18	0	0.0446206237780934	8.58965812630486e-19	0	0	7.80230306376381e-18	8.69230160437169e-18	0.0230536400429026	0	5.12963547273368e-18	0	0.00249321284719239	0.0298091061117789	0.0039688005947865	0.0174757591052535	4.02598098702858e-18	0	1.37735714313243e-18	0	0.290627965461547	1.11751626531634e-18	0.0178665033481457	0	0.00188423768398975	0.0923614175030847	0	0.0633106965809334	0	0	0.010722375099398	1.36680642079239e-20	0.00984145958061843	0.00141311919326484	0.0131733602186392	4.30075077468362e-18	0.0863615343813514	9.85096354841982e-18	0	1.36417841739321e-17	0.118484714044729	0.00770434706231731	0.00154492518165036	0.000113989937147275	0.00383929763907836	0	0	0.0501472353368987	0.0998110658776848	5.30236592703166e-18	0.0564892351749823	0.016591450351058	3.34318016542773e-18	0	0	0.011481103960666	0	0.185180416667771	2.5549562702127e-18	0.235767085389385	0	0.0152555833100685	0.00656097305374562	0.00893325167407285	0.0154942247278185
TCGA-A2-A04U	0.0687830389276501	0	0	0	0.031844561252636	1.94634558018184e-21	0	0	1.97287290998515e-17	1.03147415130005e-17	0.0177753452132328	4.93367222348502e-18	0	2.55594883673303e-17	0	0.0117736750825668	0	0.141071536193677	9.46096811648207e-18	0	0.0240066085714229	0	0.365550065834061	2.08419388530537e-19	0.0111250957158706	0	0.00275112149426138	0.0302913158711619	0	0.0622362382382642	1.12263521275002e-18	0.00263379751336347	0.0105997431721607	0.00911103301464536	0.000518171922661855	0	0.0159319585291707	0	0.141789229552322	0	0	2.43987446833063e-18	0.241439647627435	0.0488837335527997	0.00381731100126301	3.25682579198772e-19	0.00559853756111419	0	6.44933433248815e-18	0.160074521719315	0.121459698600634	2.08980394827865e-18	0.078526483271066	0.0138936786963869	9.17215579595331e-18	0	0	0.0168394545636979	1.97259013888476e-18	0.239993418764207	0	0.390663869438059	0.00873646639340222	0	0.00210131295735022	0.0175658521436468	0.019667165100997
TCGA-A7-A26I.1	0.103612134853848	0.000538815620329654	0.015514617172792	0	2.74121646793818e-18	0.00213459224678862	0	0.00995605287466244	0	0	7.86762742102024e-20	9.36083378581632e-19	0.0144616957013395	1.78626434403786e-18	0.02420206216869	0	0	0.00312180569602771	0.00318733061565367	0	0.0343440078778515	0	0.321913795935438	0	0.0983926247132014	1.22897314840867e-18	6.115030881528e-19	0.174912817281655	0.0456485617452268	0.0620051784158634	0.0013139912320828	0.0572377450786892	0.0439547978537745	0.0253330381770397	0.00555847954955969	0.00773625187314418	0.0115877824811403	1.53625141506103e-18	0.021217976007673	2.09934351809058e-18	0	1.68748160765198e-18	0.149413412103773	0.0177187097940698	0.0198868797033064	2.01768502372326e-19	0.00534847402931062	0	0	0	0	0	0.0183132260960306	0.00197289033469292	0.00115747642070524	2.1888948802968e-17	0	0.00674469320542205	0	0.335416288946272	5.97331690435594e-18	3.45584186612638e-05	0.239644077545469	0.0674683707332294	0.0485015183352742	0.0666377241056913	0.115139242440966
TCGA-A8-A07C	0.255497818552849	8.15594982170819e-20	3.9627171482996e-18	0.0751813385153075	0.0392468077985806	0.0236070721569142	3.64127473048152e-18	0.00227533689976625	0	1.30107661455843e-19	0.0098648191867626	0.0439281826211456	0.0440220010463573	0	0.0241195955568471	0	0.0425856266793497	0.0472404478704067	0	0.011916159374754	0.0173630054673907	0	0.176421980165656	2.05131329346737e-19	1.11664442543616e-17	0	0.000451996226920997	0.113028877533644	0.0438384920986213	0.0133144982779598	1.57081002678419e-19	0.0491484259002712	0.0392301915348103	0.0324189729210532	0.00902031169235874	0.00122714457363925	0.0194041772388944	0	0.0848608675849618	0	0.00632163882871225	2.88057193843804e-18	0.0362514394351304	0.0238624960582115	0.0167557953732877	0.00333065732831647	0.00212376671204046	2.8375811487304e-20	0	0.0316873984565026	0.0394703614584333	0	0.0354259828881623	0.0270351295235503	1.80119299156392e-19	0.0941320496070131	0.00157671890809309	0.00517569955816145	0	0.239565111564496	0	0.204211278491041	0.151109288311299	0.0437307230358446	0.131860929221544	0.00868150273369538	0.140542431955239
TCGA-E2-A1AZ	0.297773443142348	0.00666600901459213	0	0.00785066174092715	0	0.0247208745073628	0.0170207915747636	0.0222118040669106	3.69599139446785e-18	0	0.0185730661538758	0.0412443503244349	0.054153266632177	3.99318761035352e-19	0.0551038094219561	0.0203325382382643	0	0.0488352102870145	0	0.00862265084085104	0.0659349620200343	0	0.291939484564259	4.65258491918845e-05	0.0392838078473812	0.00163102068631147	0.000146099552515244	0.325624682928622	0	0.0373678800153327	0.00596172285673872	0.0301572789336798	0.0400102787281549	0.018489094783178	0.0133103738077683	0.00770845975430836	0.00303982216939847	3.54397968461398e-18	0.052947924344679	1.18323520531602e-19	0.00870811246506539	4.31938429462959e-20	0.113628235000039	0.0437565897496196	0.0096820968124831	0.000261239519743801	0.00260727109411487	0	2.80917636919254e-19	0	1.10645588953996e-17	1.42631138556996e-18	0.0355967195711603	0.0115688631481667	0	0.0212321617013052	0	0.00192166853870024	0.0020372422378632	0.312647401564704	0	0.203803410526218	0.117679295233452	0.0501202277085474	0.0880701547864249	0.0559423894410038	0.144012544227429
TCGA-E2-A158	0.0505491637890713	0	1.39174275479673e-17	0.0229649282634682	0.113146805557245	0	0	0	2.05980011346113e-18	2.99233134980615e-18	0.0114004391905325	0.026534914581095	5.3399866179951e-18	1.80911497227647e-17	0	2.61090219605309e-18	0.00789215753164152	0.0579534125879891	0	3.30986994750021e-20	0	7.36400243052558e-19	0.454026802366254	0	0	0	0.00247381415331393	0	0.0173145123092518	0.0676956418419766	0	2.89250487338242e-19	3.6930759052947e-19	0.0128484011736963	0.00974503847295481	0.0026600006894896	0.00997100714749871	0	0.0864965564674195	0	4.29964583077527e-18	0	1.49181752117809e-17	0.0132943167859372	0.015491116960706	0.00174284812541995	0.00947913991483977	0	0	0.0682911830921455	0.101404192412382	2.42788612796362e-18	0.0325760919571868	0.019595951291762	9.69432268276456e-19	0.000583786606506855	0	0.0239934356582103	0.00287127853707263	0.17964784476219	1.99366814165975e-18	0.183325693714481	0	0.0142770905100124	0.039496587545012	0	0.039496587545012
TCGA-E9-A5FL	0.0559120841533473	0.315776107819291	7.54261693739778e-18	0	0	0	5.86740288873299e-18	5.20292299435481e-18	0	1.51306670072039e-21	0.00796034326190258	1.49201630073118e-17	2.07808548259915e-18	1.07015774629421e-17	0.00720717337709877	0.00536170048664319	0	0.0506353789244126	3.05880672972749e-18	0.0125439586028024	0.0136849997420995	6.7295259686045e-18	0.704839689520551	5.83468280457396e-19	0.100389627023994	8.05383685772843e-18	0	0.127690062029486	0.340404393090847	0.230429970530055	1.28791429930687e-20	0.0342349311642975	0.0487712752094685	0.0079657264600036	0	0	0.00180896981905036	0	0.101010359776245	0.0325141519494076	1.82952432301343e-19	1.94803021636193e-17	0.229820493079614	0.0673551466608007	0.0125759969271827	0	0.00680285054589681	0	7.58704633611001e-19	0.0729352921158923	0.0243031160669055	0	4.83523057126671e-17	0.00451632969397137	0	0.0726007181249914	0	0.0880850291354777	0	0	2.34356396420354e-18	0.28519506449256	1.02982669641426e-17	2.85940943692317e-17	0.0311859265113999	0.214925367292692	0.246111293804092
