submitter_id	total_snvs	Ageing_CpG_prop	APOBEC_prop
TCGA-A1-A0SK	67	0.223880597014925	0.0597014925373134
TCGA-A1-A0SO	281	0.0747330960854093	0.0925266903914591
TCGA-A1-A0SP	49	0.224489795918367	0.0612244897959184
TCGA-A2-A04P	131	0.0763358778625954	0.099236641221374
TCGA-A2-A04Q	46	0.108695652173913	0.130434782608696
TCGA-A2-A04T	97	0.0927835051546392	0.0927835051546392
TCGA-A2-A04U	53	0.188679245283019	0.0566037735849057
TCGA-A2-A0CM	52	0.0769230769230769	0.461538461538462
TCGA-A2-A0D0	79	0.151898734177215	0.113924050632911
TCGA-A2-A0D2	83	0.0602409638554217	0.144578313253012
TCGA-A2-A0ST	18	0.111111111111111	0.277777777777778
TCGA-A2-A0SX	30	0.133333333333333	0.133333333333333
TCGA-A2-A0T0	173	0.0809248554913295	0.092485549132948
TCGA-A2-A0T2	26	0.269230769230769	0.115384615384615
TCGA-A2-A0YE	32	0.3125	0.125
TCGA-A2-A0YJ	75	0.213333333333333	0.0666666666666667
TCGA-A2-A0YM	79	0.30379746835443	0.20253164556962
TCGA-A2-A1G1	28	0.142857142857143	0.0714285714285714
TCGA-A2-A25F	2	0	0
TCGA-A2-A3XU	19	0.315789473684211	0
TCGA-A2-A3Y0	171	0.0994152046783626	0.128654970760234
TCGA-A2-A4S1	66	0.181818181818182	0.0757575757575758
TCGA-A7-A0CE	103	0.12621359223301	0.087378640776699
TCGA-A7-A0DA	143	0.0769230769230769	0.0839160839160839
TCGA-A7-A13D	284	0.140845070422535	0.123239436619718
TCGA-A7-A13E	127	0.362204724409449	0.062992125984252
TCGA-A7-A26F	73	0.219178082191781	0.136986301369863
TCGA-A7-A26G	54	0.0925925925925926	0.166666666666667
TCGA-A7-A26I	70	0.157142857142857	0.128571428571429
TCGA-A7-A4SE	86	0.0348837209302326	0.22093023255814
TCGA-A7-A5ZV	185	0.151351351351351	0.0864864864864865
TCGA-A7-A6VV	48	0.1875	0.145833333333333
TCGA-A7-A6VW	65	0.138461538461538	0.0769230769230769
TCGA-A7-A6VY	94	0.0957446808510638	0.148936170212766
TCGA-A8-A07O	42	0.333333333333333	0.285714285714286
TCGA-A8-A07R	217	0.0921658986175115	0.0921658986175115
TCGA-A8-A07U	65	0.153846153846154	0.292307692307692
TCGA-A8-A08R	246	0.0731707317073171	0.150406504065041
